O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,O11,O12,O13,O14,O15,O16,O17,O18,O19,O20,O21,UNK,TP,TN,FP,FN
0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,sc,0,0,--round-to-nearest,0,573,347,79,0,1
0,0,0,0,0,0,0,0,0,1,0,0,1,0,20,0,pso,0,0,--round-to-zero,--mathsat,596,340,30,33,1
0,0,0,0,0,0,0,0,1,1,0,100,1,0,100,lifo,pso,--arrays-uf-always,--reachability-slice,--round-to-nearest,--cprover-smt2,175,69,355,5,396
0,0,0,0,0,0,0,1,0,1,1,5000,20,0,100,fifo,tso,--arrays-uf-always,--reachability-slice,--round-to-minus-inf,--boolector,807,171,0,22,0
0,0,0,0,0,0,0,1,1,0,1,0,1,1000,10,lifo,tso,--arrays-uf-never,--reachability-slice-fb,--round-to-zero,--z3,838,132,0,30,0
0,0,0,0,0,0,0,1,1,0,1,5000,100,5000,10,lifo,pso,--arrays-uf-never,0,--round-to-plus-inf,--yices,852,125,0,23,0
0,0,0,0,0,0,1,0,0,0,1,0,10,5000,100,fifo,tso,0,--reachability-slice-fb,--round-to-plus-inf,--boolector,917,0,77,0,6
0,0,0,0,0,1,0,0,1,0,0,100,1,5000,10,0,pso,--arrays-uf-always,--reachability-slice-fb,--round-to-nearest,--cvc4,176,71,353,5,395
0,0,0,0,0,1,0,0,1,0,0,2000,10,5000,0,lifo,pso,--arrays-uf-never,--reachability-slice,--round-to-minus-inf,--z3,697,113,130,27,33
0,0,0,0,0,1,0,0,1,1,1,5000,10,100,0,0,tso,0,0,--round-to-nearest,--boolector,696,210,82,5,7
0,0,0,0,0,1,1,0,1,1,1,100,5,5000,0,0,pso,--arrays-uf-always,--reachability-slice-fb,--round-to-nearest,--z3,108,227,231,175,259
0,0,0,0,0,1,1,1,1,0,0,1000,1,2000,100,fifo,pso,0,--reachability-slice-fb,--round-to-minus-inf,--cvc4,782,160,0,58,0
0,0,0,0,0,1,1,1,1,1,0,0,100,1000,5,lifo,pso,--arrays-uf-never,--reachability-slice,--round-to-plus-inf,--yices,845,122,0,33,0
0,0,0,0,0,1,1,1,1,1,1,0,100,0,100,lifo,sc,0,--reachability-slice-fb,--round-to-zero,--cprover-smt2,830,136,0,34,0
0,0,0,0,1,0,0,1,0,0,1,5000,1,5000,100,fifo,pso,--arrays-uf-never,--reachability-slice,--round-to-plus-inf,--z3,777,174,0,49,0
0,0,0,0,1,0,1,0,0,1,1,1000,5,5000,0,lifo,sc,--arrays-uf-always,0,--round-to-zero,--cprover-smt2,752,174,17,52,5
0,0,0,0,1,0,1,1,0,1,0,100,20,2000,100,fifo,tso,0,0,--round-to-zero,--cvc4,760,182,0,58,0
0,0,0,0,1,1,0,0,1,0,0,1000,10,100,20,0,pso,0,0,--round-to-zero,--yices,649,211,94,18,28
0,0,0,0,1,1,1,0,0,0,1,100,5,2000,100,fifo,sc,0,--reachability-slice-fb,--round-to-minus-inf,--boolector,534,1,217,0,248
0,0,0,0,1,1,1,1,1,1,0,5000,20,2000,5,lifo,tso,0,--reachability-slice,--round-to-plus-inf,--boolector,829,127,0,44,0
0,0,0,1,0,0,0,0,1,0,1,100,20,0,0,fifo,pso,--arrays-uf-never,--reachability-slice-fb,--round-to-zero,--yices,47,66,441,8,438
0,0,0,1,0,0,1,0,1,0,0,0,100,5000,20,0,sc,--arrays-uf-never,--reachability-slice-fb,--round-to-minus-inf,--yices,634,212,104,35,15
0,0,0,1,0,0,1,1,1,1,1,100,1,0,20,lifo,tso,--arrays-uf-never,--reachability-slice,--round-to-plus-inf,--boolector,695,199,0,106,0
0,0,0,1,0,1,0,0,0,0,1,5000,100,100,10,0,sc,--arrays-uf-never,0,--round-to-plus-inf,--cvc4,891,58,38,0,13
0,0,0,1,0,1,0,0,0,1,0,100,5,100,20,fifo,sc,--arrays-uf-always,--reachability-slice-fb,--round-to-nearest,--mathsat,116,65,403,1,415
0,0,0,1,0,1,0,0,0,1,1,2000,20,1000,0,lifo,tso,0,--reachability-slice-fb,--round-to-nearest,0,633,152,168,8,39
0,0,0,1,0,1,1,1,1,1,1,1000,10,0,5,lifo,pso,--arrays-uf-never,--reachability-slice,--round-to-plus-inf,--boolector,837,121,0,42,0
0,0,0,1,1,0,0,0,0,0,1,1000,20,100,100,0,tso,0,--reachability-slice,--round-to-zero,--z3,432,338,187,2,41
0,0,0,1,1,0,0,1,0,0,0,0,5,2000,0,0,tso,--arrays-uf-always,--reachability-slice,--round-to-nearest,--cprover-smt2,1000,0,0,0,0
0,0,0,1,1,0,0,1,0,0,0,1000,10,0,20,lifo,tso,--arrays-uf-never,0,--round-to-zero,--boolector,1000,0,0,0,0
0,0,0,1,1,1,0,0,1,0,0,100,10,100,10,lifo,sc,--arrays-uf-never,--reachability-slice,--round-to-nearest,--boolector,93,66,422,1,418
0,0,0,1,1,1,1,0,0,0,1,2000,20,5000,0,0,tso,--arrays-uf-always,--reachability-slice,--round-to-zero,--cvc4,811,72,96,5,16
0,0,0,1,1,1,1,0,0,1,1,5000,5,100,5,lifo,sc,--arrays-uf-never,--reachability-slice-fb,--round-to-plus-inf,--mathsat,680,168,90,49,13
0,0,0,1,1,1,1,0,1,0,1,0,20,5000,10,fifo,pso,0,--reachability-slice-fb,--round-to-plus-inf,--mathsat,710,146,93,38,13
0,0,0,1,1,1,1,0,1,1,0,100,20,1000,0,lifo,pso,0,--reachability-slice-fb,--round-to-zero,--mathsat,167,188,268,92,285
0,0,0,1,1,1,1,1,1,1,1,100,100,2000,5,fifo,pso,--arrays-uf-always,--reachability-slice,--round-to-zero,--z3,768,179,0,53,0
0,0,1,0,0,0,0,0,0,1,0,0,1,5000,5,fifo,tso,0,0,--round-to-zero,--cprover-smt2,580,198,36,44,142
0,0,1,0,0,0,0,1,0,0,1,1000,100,5000,0,fifo,tso,--arrays-uf-never,--reachability-slice,--round-to-nearest,--mathsat,903,85,0,12,0
0,0,1,0,0,0,1,0,0,1,1,1000,1,5000,10,0,tso,--arrays-uf-never,0,--round-to-minus-inf,--boolector,316,429,11,240,4
0,0,1,0,0,0,1,0,0,1,1,5000,1,2000,5,lifo,tso,--arrays-uf-always,--reachability-slice-fb,--round-to-minus-inf,--cvc4,488,288,80,76,68
0,0,1,0,0,0,1,0,1,0,1,2000,20,0,20,lifo,tso,0,0,--round-to-nearest,--yices,677,198,23,38,64
0,0,1,0,0,0,1,0,1,1,1,0,10,1000,10,0,pso,--arrays-uf-always,--reachability-slice-fb,--round-to-minus-inf,--yices,627,226,87,52,8
0,0,1,0,0,0,1,1,0,0,1,1000,100,1000,10,fifo,tso,--arrays-uf-always,--reachability-slice,--round-to-minus-inf,--boolector,1000,0,0,0,0
0,0,1,0,0,1,0,0,1,0,1,1000,20,1000,100,0,pso,--arrays-uf-never,0,--round-to-nearest,--z3,615,233,87,42,23
0,0,1,0,0,1,0,1,0,0,1,5000,1,1000,0,fifo,sc,--arrays-uf-always,0,--round-to-plus-inf,--boolector,1000,0,0,0,0
0,0,1,0,0,1,0,1,1,1,0,100,100,2000,20,fifo,tso,--arrays-uf-never,--reachability-slice-fb,--round-to-zero,--cprover-smt2,899,78,0,23,0
0,0,1,0,0,1,1,1,1,0,0,2000,10,5000,0,lifo,sc,--arrays-uf-never,0,--round-to-zero,--yices,751,198,0,51,0
0,0,1,0,1,0,0,0,1,0,0,1000,10,1000,20,fifo,pso,--arrays-uf-never,0,--round-to-nearest,--cvc4,396,146,205,34,219
0,0,1,0,1,0,0,0,1,1,0,100,10,100,100,fifo,sc,--arrays-uf-never,--reachability-slice-fb,--round-to-plus-inf,--cprover-smt2,91,79,407,19,404
0,0,1,0,1,0,0,1,0,1,1,1000,10,2000,100,0,sc,0,0,--round-to-nearest,--yices,560,373,0,67,0
0,0,1,0,1,0,0,1,1,0,1,100,100,2000,20,fifo,tso,0,--reachability-slice,--round-to-nearest,0,900,79,0,21,0
0,0,1,0,1,1,0,0,0,1,1,2000,20,2000,10,0,sc,0,--reachability-slice-fb,--round-to-minus-inf,--z3,415,362,141,52,30
0,0,1,0,1,1,0,0,1,0,0,0,20,1000,100,lifo,tso,--arrays-uf-never,0,--round-to-zero,--boolector,635,157,38,31,139
0,0,1,0,1,1,0,1,0,0,0,5000,20,5000,5,fifo,sc,0,--reachability-slice-fb,--round-to-zero,--z3,771,197,0,32,0
0,0,1,0,1,1,0,1,0,1,1,1000,1,2000,0,fifo,tso,--arrays-uf-always,--reachability-slice-fb,--round-to-zero,--yices,716,221,0,63,0
0,0,1,0,1,1,1,1,0,1,1,100,5,1000,20,0,sc,--arrays-uf-never,0,--round-to-zero,--boolector,560,250,0,190,0
0,0,1,0,1,1,1,1,0,1,1,1000,1,100,0,0,pso,0,0,--round-to-zero,--mathsat,290,448,0,262,0
0,0,1,1,0,0,0,0,1,0,0,0,5,2000,5,lifo,tso,--arrays-uf-always,--reachability-slice-fb,--round-to-plus-inf,--z3,577,138,107,32,146
0,0,1,1,0,0,0,0,1,0,0,2000,20,5000,100,fifo,sc,--arrays-uf-never,0,--round-to-zero,--yices,532,148,114,30,176
0,0,1,1,0,1,0,0,1,0,1,100,100,0,20,fifo,tso,0,--reachability-slice-fb,--round-to-minus-inf,--mathsat,20,76,448,23,433
0,0,1,1,0,1,0,1,1,0,1,100,20,0,10,fifo,sc,--arrays-uf-never,--reachability-slice-fb,--round-to-minus-inf,0,901,76,0,23,0
0,0,1,1,0,1,1,0,0,0,0,2000,5,0,100,fifo,tso,--arrays-uf-never,--reachability-slice,--round-to-plus-inf,--yices,911,0,83,0,6
0,0,1,1,0,1,1,0,1,0,0,0,5,1000,100,fifo,tso,--arrays-uf-never,0,--round-to-minus-inf,--cprover-smt2,680,195,17,47,61
0,0,1,1,0,1,1,0,1,1,1,2000,20,0,0,lifo,pso,0,--reachability-slice-fb,--round-to-zero,--mathsat,612,182,92,44,70
0,0,1,1,1,0,0,1,0,1,0,5000,20,5000,10,lifo,tso,--arrays-uf-never,0,--round-to-minus-inf,--cprover-smt2,750,202,0,48,0
0,0,1,1,1,0,1,1,0,0,1,1000,20,2000,0,0,sc,0,0,--round-to-minus-inf,0,547,364,0,89,0
0,0,1,1,1,1,0,1,1,0,1,2000,1,2000,0,lifo,tso,--arrays-uf-always,--reachability-slice,--round-to-minus-inf,0,794,152,0,54,0
0,0,1,1,1,1,0,1,1,0,1,5000,10,2000,10,lifo,tso,--arrays-uf-always,--reachability-slice-fb,--round-to-plus-inf,--cprover-smt2,824,145,0,31,0
0,0,1,1,1,1,1,0,1,0,0,2000,100,0,0,lifo,tso,0,0,--round-to-plus-inf,--boolector,689,176,27,41,67
0,1,0,0,0,0,1,0,1,0,1,0,5,2000,0,0,pso,--arrays-uf-never,--reachability-slice-fb,--round-to-nearest,--boolector,322,393,109,153,23
0,1,0,0,0,0,1,1,0,0,1,1000,1,0,100,lifo,sc,0,--reachability-slice,--round-to-zero,0,545,362,0,93,0
0,1,0,0,0,0,1,1,0,1,0,1000,10,1000,20,lifo,tso,0,--reachability-slice,--round-to-plus-inf,--cprover-smt2,552,355,0,93,0
0,1,0,0,0,0,1,1,0,1,0,1000,100,1000,5,0,tso,0,--reachability-slice-fb,--round-to-zero,--boolector,367,411,0,222,0
0,1,0,0,0,0,1,1,1,0,0,1000,10,0,0,fifo,tso,0,0,--round-to-minus-inf,--cprover-smt2,579,358,0,63,0
0,1,0,0,0,1,0,0,0,0,0,2000,5,2000,20,lifo,sc,--arrays-uf-always,0,--round-to-minus-inf,--mathsat,290,70,293,10,337
0,1,0,0,0,1,0,1,1,1,1,100,20,100,0,0,pso,0,--reachability-slice-fb,--round-to-nearest,--cvc4,873,94,0,33,0
0,1,0,0,0,1,1,1,1,1,0,1000,5,2000,5,fifo,tso,--arrays-uf-never,--reachability-slice,--round-to-minus-inf,0,511,392,0,97,0
0,1,0,0,1,0,0,0,0,1,0,0,5,100,100,0,tso,--arrays-uf-never,--reachability-slice,--round-to-zero,--mathsat,184,109,314,40,353
0,1,0,0,1,0,0,0,1,0,1,0,20,5000,100,0,tso,--arrays-uf-always,--reachability-slice,--round-to-plus-inf,0,201,103,312,33,351
0,1,0,0,1,0,0,1,0,1,1,100,100,5000,100,lifo,pso,--arrays-uf-always,0,--round-to-plus-inf,--boolector,917,73,0,10,0
0,1,0,0,1,0,0,1,1,0,0,1000,1,2000,10,lifo,sc,--arrays-uf-always,0,--round-to-plus-inf,--cvc4,890,88,0,22,0
0,1,0,0,1,0,0,1,1,1,1,2000,1,1000,10,fifo,tso,--arrays-uf-never,--reachability-slice-fb,--round-to-zero,0,843,109,0,48,0
0,1,0,0,1,0,1,0,0,0,0,1000,1,100,0,fifo,tso,--arrays-uf-never,0,--round-to-nearest,--cprover-smt2,908,0,85,0,7
0,1,0,0,1,0,1,0,1,1,1,5000,1,2000,0,lifo,sc,--arrays-uf-always,--reachability-slice,--round-to-minus-inf,--mathsat,444,352,100,79,25
0,1,0,0,1,0,1,1,0,0,0,0,100,5000,5,lifo,tso,--arrays-uf-always,--reachability-slice-fb,--round-to-plus-inf,--cprover-smt2,1000,0,0,0,0
0,1,0,0,1,0,1,1,1,1,0,5000,5,100,100,lifo,pso,--arrays-uf-always,--reachability-slice,--round-to-plus-inf,--cvc4,551,357,0,92,0
0,1,0,0,1,0,1,1,1,1,1,1000,20,2000,5,0,pso,--arrays-uf-never,0,--round-to-nearest,--cprover-smt2,450,388,0,162,0
0,1,0,0,1,1,0,0,0,1,0,0,20,2000,20,lifo,tso,0,--reachability-slice,--round-to-minus-inf,--mathsat,237,96,294,35,338
0,1,0,0,1,1,0,0,0,1,0,2000,20,5000,5,fifo,sc,--arrays-uf-always,--reachability-slice-fb,--round-to-zero,0,240,96,295,33,336
0,1,0,0,1,1,0,0,0,1,1,5000,5,1000,0,0,pso,0,0,--round-to-nearest,--cprover-smt2,248,96,304,14,338
0,1,0,0,1,1,0,1,0,0,0,100,100,100,20,0,tso,--arrays-uf-always,0,--round-to-zero,--yices,1000,0,0,0,0
0,1,0,0,1,1,0,1,1,1,1,1000,100,0,5,lifo,pso,0,--reachability-slice,--round-to-plus-inf,0,838,112,0,50,0
0,1,0,0,1,1,1,0,0,0,0,2000,100,100,100,fifo,pso,0,--reachability-slice-fb,--round-to-zero,--z3,472,366,90,60,12
0,1,0,0,1,1,1,1,0,0,1,2000,20,0,10,lifo,tso,--arrays-uf-never,0,--round-to-zero,--cprover-smt2,1000,0,0,0,0
0,1,0,0,1,1,1,1,0,1,1,5000,1,2000,10,fifo,tso,--arrays-uf-never,--reachability-slice-fb,--round-to-nearest,--yices,502,395,0,103,0
0,1,0,1,0,0,0,0,0,1,1,100,20,5000,5,lifo,sc,0,--reachability-slice-fb,--round-to-nearest,--boolector,153,78,365,21,383
0,1,0,1,0,0,0,0,1,0,0,2000,5,2000,5,lifo,tso,--arrays-uf-never,--reachability-slice,--round-to-nearest,--z3,204,98,312,32,354
0,1,0,1,0,0,0,1,0,1,0,1000,20,5000,100,lifo,sc,--arrays-uf-always,--reachability-slice,--round-to-zero,--cprover-smt2,848,104,0,48,0
0,1,0,1,0,0,0,1,1,0,1,100,20,5000,20,0,tso,--arrays-uf-always,--reachability-slice-fb,--round-to-nearest,--cprover-smt2,894,83,0,23,0
0,1,0,1,0,0,0,1,1,1,1,1000,5,1000,10,lifo,tso,0,--reachability-slice,--round-to-zero,--yices,844,108,0,48,0
0,1,0,1,0,0,1,0,1,0,1,100,100,100,5,0,sc,--arrays-uf-always,--reachability-slice,--round-to-plus-inf,--yices,93,392,239,186,90
0,1,0,1,0,1,0,0,0,1,0,0,10,0,20,0,tso,--arrays-uf-never,0,--round-to-plus-inf,--mathsat,238,97,311,14,340
0,1,0,1,0,1,0,0,1,0,0,1000,20,100,0,fifo,tso,--arrays-uf-never,--reachability-slice-fb,--round-to-nearest,--boolector,235,95,302,28,340
0,1,0,1,1,0,0,1,0,0,1,1000,5,5000,5,0,tso,0,0,--round-to-plus-inf,--cvc4,887,93,0,20,0
0,1,0,1,1,0,1,0,1,0,0,0,1,0,10,fifo,sc,0,0,--round-to-nearest,--cvc4,491,346,98,52,13
0,1,0,1,1,0,1,1,1,0,0,0,100,1000,5,0,sc,0,0,--round-to-nearest,--mathsat,408,394,0,198,0
0,1,0,1,1,0,1,1,1,0,0,100,10,5000,20,lifo,pso,0,--reachability-slice,--round-to-zero,--z3,525,340,0,135,0
0,1,0,1,1,0,1,1,1,0,1,100,10,1000,5,lifo,tso,--arrays-uf-never,--reachability-slice,--round-to-plus-inf,--cvc4,523,342,0,135,0
0,1,0,1,1,1,1,0,0,0,1,2000,10,2000,20,fifo,sc,--arrays-uf-always,--reachability-slice-fb,--round-to-minus-inf,--boolector,898,0,91,0,11
0,1,1,0,0,0,0,0,1,0,1,0,20,100,0,lifo,pso,--arrays-uf-always,--reachability-slice-fb,--round-to-plus-inf,--cprover-smt2,247,102,295,30,326
0,1,1,0,0,0,0,0,1,0,1,2000,10,0,100,0,tso,--arrays-uf-never,--reachability-slice-fb,--round-to-nearest,0,214,118,296,45,327
0,1,1,0,0,0,0,0,1,1,0,0,20,2000,20,fifo,tso,0,--reachability-slice,--round-to-plus-inf,--yices,208,112,303,39,338
0,1,1,0,0,0,0,1,0,0,0,1000,1,100,20,lifo,pso,--arrays-uf-always,--reachability-slice-fb,--round-to-zero,0,807,130,0,63,0
0,1,1,0,0,0,0,1,1,0,1,100,20,0,100,lifo,tso,--arrays-uf-never,0,--round-to-nearest,--z3,891,89,0,20,0
0,1,1,0,0,0,0,1,1,0,1,2000,100,0,10,fifo,pso,--arrays-uf-always,--reachability-slice-fb,--round-to-nearest,--cprover-smt2,828,124,0,48,0
0,1,1,0,0,0,1,0,1,0,0,5000,10,100,0,lifo,sc,--arrays-uf-always,--reachability-slice,--round-to-minus-inf,--cvc4,361,372,90,156,21
0,1,1,0,0,0,1,0,1,1,1,100,1,100,100,0,pso,0,--reachability-slice-fb,--round-to-plus-inf,0,202,403,159,188,48
0,1,1,0,0,0,1,1,0,1,1,100,100,0,10,fifo,pso,0,--reachability-slice,--round-to-minus-inf,--z3,414,397,0,189,0
0,1,1,0,0,1,0,0,1,0,0,1000,5,0,0,0,pso,--arrays-uf-never,--reachability-slice,--round-to-zero,--z3,214,120,292,43,331
0,1,1,0,0,1,1,0,1,1,1,5000,1,0,10,fifo,sc,--arrays-uf-never,--reachability-slice-fb,--round-to-nearest,--mathsat,267,419,86,218,10
0,1,1,0,1,0,0,0,0,0,1,100,5,5000,10,lifo,sc,--arrays-uf-always,0,--round-to-minus-inf,--yices,319,0,325,0,356
0,1,1,0,1,0,0,1,0,0,0,1000,5,1000,5,fifo,sc,--arrays-uf-never,--reachability-slice-fb,--round-to-plus-inf,--mathsat,850,116,0,34,0
0,1,1,0,1,0,1,0,0,1,1,1000,100,2000,100,0,sc,--arrays-uf-never,--reachability-slice-fb,--round-to-plus-inf,--boolector,226,414,122,213,25
0,1,1,0,1,0,1,0,1,0,0,100,10,2000,0,fifo,sc,0,0,--round-to-nearest,--mathsat,167,387,198,175,73
0,1,1,0,1,1,0,0,0,0,1,2000,5,0,20,0,sc,0,--reachability-slice-fb,--round-to-zero,0,205,128,287,51,329
0,1,1,0,1,1,0,0,0,1,0,1000,100,100,5,0,tso,0,--reachability-slice,--round-to-minus-inf,--cprover-smt2,192,114,314,43,337
0,1,1,0,1,1,1,0,0,0,0,2000,5,5000,0,lifo,sc,--arrays-uf-never,--reachability-slice,--round-to-plus-inf,--cprover-smt2,907,0,85,0,8
0,1,1,0,1,1,1,1,0,0,0,0,10,0,0,fifo,tso,0,--reachability-slice,--round-to-nearest,--cvc4,347,428,0,225,0
0,1,1,1,0,0,0,0,1,0,1,1000,5,2000,0,0,sc,--arrays-uf-always,0,--round-to-nearest,--cvc4,216,114,299,38,333
0,1,1,1,0,0,0,1,0,1,1,0,1,5000,0,lifo,sc,0,0,--round-to-nearest,--yices,820,124,0,56,0
0,1,1,1,0,0,1,0,1,0,0,5000,20,1000,100,0,pso,--arrays-uf-never,0,--round-to-minus-inf,--mathsat,268,406,103,207,16
0,1,1,1,0,0,1,1,0,1,0,2000,5,1000,10,fifo,sc,--arrays-uf-never,--reachability-slice-fb,--round-to-zero,--cvc4,337,427,0,236,0
0,1,1,1,0,1,0,0,0,0,1,100,20,0,0,lifo,pso,--arrays-uf-always,--reachability-slice,--round-to-plus-inf,--cprover-smt2,308,0,336,0,356
0,1,1,1,0,1,0,1,1,1,0,5000,10,100,20,0,tso,--arrays-uf-never,--reachability-slice,--round-to-zero,--cprover-smt2,796,134,0,70,0
0,1,1,1,0,1,0,1,1,1,1,5000,1,100,20,lifo,tso,--arrays-uf-never,--reachability-slice-fb,--round-to-plus-inf,--cvc4,808,130,0,62,0
0,1,1,1,0,1,1,0,1,1,0,2000,1,100,5,lifo,pso,--arrays-uf-always,--reachability-slice-fb,--round-to-zero,--cvc4,341,390,92,166,11
0,1,1,1,0,1,1,1,0,1,0,1000,20,5000,100,fifo,sc,0,0,--round-to-plus-inf,--cprover-smt2,374,413,0,213,0
0,1,1,1,0,1,1,1,1,0,1,1000,10,2000,100,0,pso,--arrays-uf-always,--reachability-slice,--round-to-nearest,0,402,408,0,190,0
0,1,1,1,1,0,0,0,1,1,1,1000,10,1000,100,fifo,tso,0,0,--round-to-nearest,--z3,227,106,301,34,332
0,1,1,1,1,0,0,1,0,0,1,5000,100,1000,10,0,tso,--arrays-uf-never,--reachability-slice,--round-to-nearest,--z3,845,117,0,38,0
0,1,1,1,1,1,0,0,0,0,1,1000,5,100,10,lifo,sc,0,--reachability-slice-fb,--round-to-nearest,--cprover-smt2,373,0,299,0,328
0,1,1,1,1,1,0,0,1,1,1,5000,100,1000,100,lifo,sc,--arrays-uf-never,0,--round-to-minus-inf,0,229,101,302,34,334
0,1,1,1,1,1,1,0,1,1,1,2000,5,5000,5,fifo,pso,0,--reachability-slice,--round-to-zero,--boolector,260,417,92,217,14
1,0,0,0,0,0,0,1,1,1,1,1000,20,2000,20,lifo,tso,--arrays-uf-never,0,--round-to-zero,0,857,122,0,21,0
1,0,0,0,0,0,1,0,0,0,1,0,1,0,100,fifo,tso,0,0,--round-to-nearest,--yices,984,0,15,0,1
1,0,0,0,0,0,1,0,0,0,1,100,100,100,20,0,sc,--arrays-uf-never,0,--round-to-minus-inf,--cvc4,47,222,290,163,278
1,0,0,0,0,1,1,0,1,1,1,5000,1,1000,5,lifo,sc,--arrays-uf-never,0,--round-to-plus-inf,0,808,128,20,38,6
1,0,0,0,1,0,1,0,1,1,1,5000,100,1000,100,0,tso,--arrays-uf-never,0,--round-to-zero,--cprover-smt2,709,218,31,36,6
