TN,TP,FN,FP,prog,complete,score,falseRate,-rta,-specs,-bounded-heap-size,-heap-limit,-heap-mode,-initial-heap-size,-inline-count,-inline-size,-mem-prec,-solver,-step-heap-size,-solver-options
95,111,0,34,368,240,-243.0,14.1666666667,on,off,1000,1000,bounded,1,-1,-1,4,spacer,100,off
94,83,0,38,368,215,-337.0,17.6744186047,on,off,5000,100,unbounded,1000,1000,1000,3,spacer,1,off
102,0,1,0,368,103,172.0,0.970873786408,off,off,1000,-1,auto,1000,100,100,4,eldarica,1,abstract
100,0,0,0,368,100,200.0,0.0,on,on,1,-1,auto,1000,10,-1,3,eldarica,100,abstractPO
78,2,0,1,368,81,142.0,1.23456790123,off,on,100,1000,auto,100,1,10,4,eldarica,1000,abstractPO
38,0,1,0,368,39,44.0,2.5641025641,off,off,1,1,auto,100,10,1000,5,eldarica,5000,abstract
0,0,0,0,368,0,0.0,0.0,on,on,100,100,bounded,1000,-1,1000,5,eldarica,1000,debug
0,0,0,0,368,0,0.0,0.0,off,on,1,100,bounded,5000,1,1,4,eldarica,10,abstract
37,0,0,0,368,37,74.0,0.0,off,off,1000,1,auto,5000,-1,1000,4,eldarica,10,debug
95,84,0,37,368,216,-318.0,17.1296296296,off,on,10,10,unbounded,1,1000,1000,1,spacer,10,off
71,137,1,66,368,275,-809.0,24.3636363636,off,on,1000,10,bounded,5000,-1,1,1,spacer,100,off
96,0,0,0,368,96,192.0,0.0,on,on,5000,10,unbounded,5000,-1,100,2,eldarica,100,abstractPO
101,0,11,0,368,112,-150.0,9.82142857143,on,off,5000,-1,unbounded,1000,1000,1,1,eldarica,1000,debug
103,76,1,5,368,185,170.0,3.24324324324,on,off,100,1000,auto,1,10,1000,2,eldarica,1,abstract
37,0,1,0,368,38,42.0,2.63157894737,off,on,1000,1,unbounded,100,100,-1,1,eldarica,100,debug
101,0,0,0,368,101,202.0,0.0,off,off,10,-1,unbounded,5000,10,100,5,eldarica,1000,abstractPO
76,0,0,0,368,76,152.0,0.0,off,on,10,10,unbounded,100,1,-1,2,eldarica,10,debug
99,121,0,37,368,257,-273.0,14.3968871595,off,off,1000,-1,auto,10,100,1,2,spacer,1,off
99,0,0,0,368,99,198.0,0.0,off,on,10,10,unbounded,10,10,100,4,eldarica,5000,abstractPO
39,0,1,0,368,40,46.0,2.5,off,off,1,1,unbounded,10,-1,-1,5,eldarica,1,abstract
38,84,0,97,368,219,-1392.0,44.2922374429,off,off,1000,1,unbounded,5000,-1,100,5,spacer,1000,off
38,84,0,97,368,219,-1392.0,44.2922374429,on,on,5000,1,auto,1000,1000,1000,5,spacer,100,off
89,74,0,5,368,168,172.0,2.97619047619,on,on,1000,1000,bounded,10,100,100,3,eldarica,100,abstractPO
38,84,0,97,368,219,-1392.0,44.2922374429,off,on,1000,1,unbounded,1,10,1,3,spacer,100,off
37,21,1,4,368,63,-1.0,7.93650793651,on,off,10,1000,bounded,1,1000,1000,1,eldarica,5000,abstract
90,73,0,2,368,165,221.0,1.21212121212,off,on,5000,-1,bounded,10,100,10,5,eldarica,5000,debug
77,111,1,37,368,226,-359.0,16.814159292,on,off,1,100,auto,1,-1,10,5,eldarica,100,abstract
37,0,0,0,368,37,74.0,0.0,on,off,10,1,auto,100,100,100,4,eldarica,10,abstractPO
98,0,1,0,368,99,164.0,1.0101010101,on,on,10,100,unbounded,1000,10,-1,4,eldarica,100,abstract
101,74,0,5,368,180,196.0,2.77777777778,on,off,10,1000,auto,10,10,10,2,eldarica,100,abstractPO
37,0,0,0,368,37,74.0,0.0,off,off,5000,1,unbounded,5000,1,100,4,eldarica,5000,debug
42,0,1,0,368,43,52.0,2.32558139535,on,off,1000,1,unbounded,1000,1,-1,1,eldarica,5000,abstract
102,76,0,3,368,181,232.0,1.65745856354,off,off,5000,-1,bounded,1,-1,1000,5,eldarica,1,abstractPO
95,82,0,35,368,212,-288.0,16.5094339623,off,off,5000,1000,unbounded,1,100,10,4,spacer,1000,off
72,115,0,59,368,246,-685.0,23.9837398374,off,off,5000,100,bounded,5000,1,1,5,spacer,1,off
0,0,0,0,368,0,0.0,0.0,off,off,100,10,bounded,1000,1000,100,1,eldarica,100,off
100,74,0,5,368,179,194.0,2.79329608939,on,on,100,100,auto,10,10,100,4,eldarica,1,debug
37,0,0,0,368,37,74.0,0.0,off,on,10,1,auto,1000,10,100,5,eldarica,1,debug
36,20,0,4,368,60,28.0,6.66666666667,off,off,10,10,bounded,1,100,10,4,eldarica,100,abstractPO
95,84,0,39,368,218,-350.0,17.8899082569,on,on,100,10,bounded,1,1000,1,2,spacer,1000,off
96,83,0,36,368,215,-301.0,16.7441860465,off,on,1,100,unbounded,1000,1,100,1,spacer,5000,off
72,120,0,62,368,254,-728.0,24.4094488189,off,on,1,10,bounded,1,1,-1,5,spacer,1000,off
0,0,0,0,368,0,0.0,0.0,on,on,10,-1,bounded,5000,-1,1,3,eldarica,10,debug
38,84,0,97,368,219,-1392.0,44.2922374429,off,off,10,1,bounded,5000,100,-1,2,spacer,100,off
94,84,0,39,368,217,-352.0,17.9723502304,on,on,1,10,bounded,10,1,1000,5,spacer,1,off
98,74,0,5,368,177,190.0,2.82485875706,on,off,1000,10,auto,1,1000,10,2,eldarica,10,debug
0,0,0,0,368,0,0.0,0.0,off,on,1,10,bounded,1000,1000,-1,4,eldarica,5000,abstractPO
29,131,0,60,368,220,-771.0,27.2727272727,on,off,1000,1,bounded,10,1,1,4,eldarica,10,abstract
37,84,0,97,368,218,-1394.0,44.495412844,on,off,1,1,bounded,5000,10,10,4,spacer,1000,off
97,125,0,39,368,261,-305.0,14.9425287356,on,off,5000,-1,unbounded,1000,-1,10,2,spacer,10,off
76,113,1,38,368,228,-375.0,17.1052631579,on,off,5000,1000,auto,1,1,1,1,eldarica,1000,abstract
99,20,0,4,368,123,154.0,3.25203252033,off,on,5000,100,auto,1,10,-1,5,eldarica,1000,abstractPO
0,0,0,0,368,0,0.0,0.0,on,off,1,1000,bounded,1000,100,1000,3,eldarica,1000,abstractPO
101,0,0,0,368,101,202.0,0.0,off,on,1,-1,unbounded,10,1000,1000,2,eldarica,1000,abstractPO
0,0,0,0,368,0,0.0,0.0,on,off,100,10,bounded,5000,-1,-1,5,eldarica,5000,abstract
36,78,0,66,368,180,-906.0,36.6666666667,on,on,10,1,bounded,1,-1,100,1,eldarica,1,debug
98,121,0,38,368,257,-291.0,14.7859922179,on,off,1000,-1,auto,5000,10,-1,2,spacer,5000,off
37,84,0,97,368,218,-1394.0,44.495412844,on,off,5000,1,bounded,1000,100,1,4,spacer,1,off
72,115,0,60,368,247,-701.0,24.2914979757,off,off,100,100,auto,1,1,-1,5,spacer,100,off
94,82,0,35,368,211,-290.0,16.5876777251,off,on,10,1000,auto,1,10,1,3,spacer,1,off
98,121,0,36,368,255,-259.0,14.1176470588,off,on,100,10,auto,10,-1,-1,2,spacer,100,off
0,0,0,0,368,0,0.0,0.0,on,on,5000,1000,bounded,1000,-1,1,3,eldarica,5000,abstract
0,0,0,0,368,0,0.0,0.0,on,on,10,-1,bounded,5000,1,1,4,eldarica,10,abstractPO
0,0,0,0,368,0,0.0,0.0,off,on,10,1,bounded,100,1,1000,4,eldarica,100,abstractPO
100,0,1,0,368,101,168.0,0.990099009901,off,on,10,1000,auto,1000,1000,-1,4,eldarica,1000,abstract
37,84,0,97,368,218,-1394.0,44.495412844,on,off,10,1,auto,10,100,100,3,spacer,5000,off
99,0,0,0,368,99,198.0,0.0,off,off,10,10,auto,5000,10,1000,2,eldarica,1,debug
0,0,0,0,368,0,0.0,0.0,off,off,1000,100,bounded,5000,1,-1,4,eldarica,1,abstractPO
97,0,0,0,368,97,194.0,0.0,on,on,10,10,auto,1000,-1,100,3,eldarica,1000,abstractPO
0,0,0,0,368,0,0.0,0.0,off,on,1,1000,bounded,10,-1,1000,4,eldarica,100,debug
96,84,0,38,368,218,-332.0,17.4311926606,off,on,5000,10,unbounded,1,10,10,2,spacer,5000,off
101,0,5,0,368,106,42.0,4.71698113208,off,off,100,-1,unbounded,1000,1000,10,1,eldarica,1,abstract
0,0,0,0,368,0,0.0,0.0,on,on,1,1,bounded,5000,-1,100,1,eldarica,100,abstractPO
77,0,0,0,368,77,154.0,0.0,off,off,1,1000,auto,5000,1,10,1,eldarica,100,debug
94,82,0,38,368,214,-338.0,17.7570093458,on,on,1,100,bounded,100,100,-1,3,spacer,10,off
76,140,0,38,368,254,-316.0,14.9606299213,on,on,5000,1000,bounded,1,1,-1,4,eldarica,1,off
76,0,0,0,368,76,152.0,0.0,off,on,1,10,unbounded,1,-1,1,3,eldarica,5000,debug
41,150,1,97,368,289,-1352.0,33.9100346021,off,off,100,1,bounded,5000,1,1,1,spacer,10,off
101,0,5,0,368,106,42.0,4.71698113208,off,off,5000,-1,unbounded,1,10,10,1,eldarica,100,abstract
38,0,1,0,368,39,44.0,2.5641025641,off,on,1,1,unbounded,1000,1000,-1,3,eldarica,1,abstract
92,82,0,37,368,211,-326.0,17.5355450237,on,off,1000,1000,unbounded,100,-1,1000,1,spacer,10,off
100,0,1,0,368,101,168.0,0.990099009901,off,on,5000,1000,auto,5000,1000,1,2,eldarica,10,abstract
25,68,0,56,368,149,-778.0,37.5838926174,off,off,100,1,bounded,10,1000,1,5,eldarica,1000,abstract
0,0,0,0,368,0,0.0,0.0,on,on,1000,-1,bounded,1000,10,100,1,eldarica,1,abstractPO
29,74,0,61,368,164,-844.0,37.1951219512,off,on,10,1,bounded,10,1000,1000,5,eldarica,1,abstractPO
98,0,8,0,368,106,-60.0,7.54716981132,on,on,100,100,auto,1000,100,100,1,eldarica,1,abstractPO
98,0,1,0,368,99,164.0,1.0101010101,on,on,10,10,unbounded,5000,10,1,5,eldarica,10,abstract
0,0,0,0,368,0,0.0,0.0,off,off,1000,10,bounded,1000,10,1000,2,eldarica,5000,abstract
74,128,0,61,368,263,-700.0,23.1939163498,off,off,1000,10,auto,1000,1,10,4,spacer,1000,off
0,0,0,0,368,0,0.0,0.0,off,on,5000,1000,bounded,1000,10,100,4,eldarica,100,abstract
100,0,1,0,368,101,168.0,0.990099009901,off,off,5000,10,unbounded,1000,100,100,5,eldarica,100,abstract
75,113,1,38,368,227,-377.0,17.1806167401,on,on,1000,100,auto,1,1,-1,3,eldarica,5000,abstract
102,0,0,0,368,102,204.0,0.0,off,on,10,-1,unbounded,1,1,-1,2,eldarica,1,abstractPO
102,0,1,0,368,103,172.0,0.970873786408,off,on,1,-1,unbounded,100,1,100,2,eldarica,5000,abstract
97,0,0,0,368,97,194.0,0.0,on,off,100,100,unbounded,5000,10,1,2,eldarica,5000,debug
99,0,0,0,368,99,198.0,0.0,off,off,5000,100,unbounded,5000,100,-1,3,eldarica,100,abstractPO
97,0,0,0,368,97,194.0,0.0,on,off,1,1000,unbounded,1,1000,100,5,eldarica,5000,off
99,0,10,0,368,109,-122.0,9.17431192661,on,on,5000,-1,auto,100,-1,-1,1,eldarica,1,off
102,0,1,0,368,103,172.0,0.970873786408,off,off,100,-1,unbounded,10,100,-1,3,eldarica,5000,abstract
98,0,0,0,368,98,196.0,0.0,off,on,10,1000,unbounded,1,-1,1000,2,eldarica,1000,debug
100,0,0,0,368,100,200.0,0.0,off,on,100,-1,auto,5000,100,10,3,eldarica,1,debug
37,0,0,0,368,37,74.0,0.0,off,on,100,1,unbounded,1000,1000,1000,2,eldarica,5000,off
37,0,1,0,368,38,42.0,2.63157894737,off,off,1000,1,unbounded,5000,10,1,1,eldarica,1000,off
97,121,1,39,368,258,-341.0,15.503875969,on,on,10,-1,bounded,10,1,100,1,spacer,1,off
100,74,0,5,368,179,194.0,2.79329608939,on,off,5000,10,auto,10,100,1000,5,eldarica,10,abstractPO
84,67,0,5,368,156,155.0,3.20512820513,off,off,10,100,bounded,10,1,100,5,eldarica,100,abstract
102,74,0,4,368,180,214.0,2.22222222222,off,off,5000,10,auto,10,1000,1000,3,eldarica,5000,debug
93,82,0,37,368,212,-324.0,17.4528301887,on,off,1000,1000,bounded,5000,1000,1000,2,spacer,1000,off
101,0,0,0,368,101,202.0,0.0,off,off,5000,-1,unbounded,100,10,100,2,eldarica,10,debug
42,131,1,62,368,236,-809.0,26.6949152542,on,on,5000,1,auto,1,1,10,3,eldarica,10,abstract
102,18,1,1,368,122,174.0,1.6393442623,off,off,10,-1,auto,1,1000,100,2,eldarica,100,abstract
101,0,0,0,368,101,202.0,0.0,on,on,10,-1,auto,1000,-1,-1,4,eldarica,5000,debug
37,2,0,1,368,40,60.0,2.5,on,on,5000,1,auto,100,1000,-1,2,eldarica,10,debug
0,0,0,0,368,0,0.0,0.0,off,off,1,10,bounded,100,100,1,1,eldarica,10,abstract
98,0,5,0,368,103,36.0,4.85436893204,off,off,10,100,auto,5000,1000,1000,1,eldarica,1,abstractPO
41,0,0,0,368,41,82.0,0.0,off,off,10,1,auto,100,-1,10,1,eldarica,5000,debug
99,0,0,0,368,99,198.0,0.0,off,on,1,10,unbounded,5000,1000,-1,5,eldarica,100,debug
0,2,0,1,368,3,-14.0,33.3333333333,on,off,5000,1000,bounded,100,1,1000,5,eldarica,1000,abstract
41,0,0,0,368,41,82.0,0.0,on,on,10,1,auto,100,1,1,2,eldarica,1000,debug
97,0,0,0,368,97,194.0,0.0,on,on,1,100,unbounded,10,1000,1000,2,eldarica,10,abstractPO
99,121,0,37,368,257,-273.0,14.3968871595,off,off,1000,-1,auto,100,1000,-1,4,spacer,1,off
97,0,0,0,368,97,194.0,0.0,on,off,1,1000,auto,10,100,100,2,eldarica,1000,debug
101,0,0,0,368,101,202.0,0.0,on,off,100,-1,auto,100,-1,1,5,eldarica,1,abstractPO
97,0,0,0,368,97,194.0,0.0,on,on,100,1000,unbounded,5000,10,-1,3,eldarica,1000,debug
0,0,0,0,368,0,0.0,0.0,off,on,100,100,bounded,5000,-1,1000,5,eldarica,10,abstract
101,0,0,0,368,101,202.0,0.0,off,off,1000,-1,unbounded,10,1,100,2,eldarica,100,abstractPO
30,74,0,62,368,166,-858.0,37.3493975904,off,on,100,1,bounded,10,1000,100,3,eldarica,100,debug
